"state_abbrev,""state"",""municipality"",""geocode"",""year"",""sit"",""carpond"",""h"",""a"",""ipm"",""csaude"",""ceduca"",""ccv"",""cnv"",""totpescar"",""totpesres"""
"RO,""Rondônia"",""Alta Floresta D'Oeste"",1100015,2000,""rural"",0.378771998,0.861731844,0.429082735,0.369754256,0.114733458,0.299188345,0.246599366,0.339478832,1234,1432"
"RO,""Rondônia"",""Ariquemes"",1100023,2000,""rural"",0.315069803,0.709054923,0.417553916,0.29606866,0.177988055,0.334389138,0.211950229,0.275672578,1433,2021"
"RO,""Rondônia"",""Cabixi"",1100031,2000,""rural"",0.36664916,0.806807728,0.429616659,0.34661804,0.169199659,0.305001738,0.223229802,0.302568802,877,1087"
"RO,""Rondônia"",""Cacoal"",1100049,2000,""rural"",0.337871656,0.794619174,0.400490497,0.318237428,0.105974008,0.342629448,0.221984078,0.329412465,2097,2639"
"RO,""Rondônia"",""Cerejeiras"",1100056,2000,""rural"",0.371404521,0.821515892,0.443395692,0.364256607,0.13927955,0.308204948,0.229655437,0.322860065,336,409"
"RO,""Rondônia"",""Colorado do Oeste"",1100064,2000,""rural"",0.338298956,0.7278402,0.416572735,0.303198383,0.172937786,0.313278171,0.216907512,0.296876532,583,801"
"RO,""Rondônia"",""Corumbiara"",1100072,2000,""rural"",0.407077626,0.93190771,0.444645733,0.414368786,0.11645541,0.302965143,0.239701222,0.340878225,1656,1777"
"RO,""Rondônia"",""Costa Marques"",1100080,2000,""rural"",0.434216831,0.918454936,0.496321021,0.455848491,0.14279523,0.282975162,0.24580058,0.328429028,642,699"
"RO,""Rondônia"",""Espigão D'Oeste"",1100098,2000,""rural"",0.375255102,0.855646971,0.448851149,0.384058126,0.125125195,0.324741264,0.208449254,0.341684287,1144,1337"
"RO,""Rondônia"",""Guajará-Mirim"",1100106,2000,""rural"",0.404877112,0.899777283,0.464326968,0.417790858,0.103951159,0.271428027,0.293576351,0.331044462,404,449"
"RO,""Rondônia"",""Jaru"",1100114,2000,""rural"",0.360216086,0.798765432,0.418191408,0.334036841,0.127508668,0.308813263,0.24564558,0.318032489,1941,2430"
"RO,""Rondônia"",""Ji-Paraná"",1100122,2000,""rural"",0.342715756,0.779811098,0.410259183,0.319924664,0.170217907,0.329210966,0.23071347,0.269857657,1321,1694"
