"state_abbrev,""state"",""municipality"",""geocode"",""period"",""zone"",""disease"",""cases"",""inc"""
"RO,""Rondônia"",""Alta Floresta D'Oeste"",1100015,""2004-2008"",""rural"",""chagas"",0,0"
"RO,""Rondônia"",""Alto Alegre dos Parecis"",1100379,""2004-2008"",""rural"",""chagas"",0,0"
"RO,""Rondônia"",""Alto Paraíso"",1100403,""2004-2008"",""rural"",""chagas"",0,0"
"RO,""Rondônia"",""Alvorada D'Oeste"",1100346,""2004-2008"",""rural"",""chagas"",0,0"
"RO,""Rondônia"",""Ariquemes"",1100023,""2004-2008"",""rural"",""chagas"",1,1.5033963749593"
"RO,""Rondônia"",""Buritis"",1100452,""2004-2008"",""rural"",""chagas"",0,0"
"RO,""Rondônia"",""Cabixi"",1100031,""2004-2008"",""rural"",""chagas"",0,0"
"RO,""Rondônia"",""Cacaulândia"",1100601,""2004-2008"",""rural"",""chagas"",1,5.72555429873738"
"RO,""Rondônia"",""Cacoal"",1100049,""2004-2008"",""rural"",""chagas"",0,0"
"RO,""Rondônia"",""Campo Novo de Rondônia"",1100700,""2004-2008"",""rural"",""chagas"",0,0"
"RO,""Rondônia"",""Candeias do Jamari"",1100809,""2004-2008"",""rural"",""chagas"",0,0"
"RO,""Rondônia"",""Castanheiras"",1100908,""2004-2008"",""rural"",""chagas"",0,0"
"RO,""Rondônia"",""Cerejeiras"",1100056,""2004-2008"",""rural"",""chagas"",0,0"
"RO,""Rondônia"",""Chupinguaia"",1100924,""2004-2008"",""rural"",""chagas"",0,0"
"RO,""Rondônia"",""Colorado do Oeste"",1100064,""2004-2008"",""rural"",""chagas"",0,0"
"RO,""Rondônia"",""Corumbiara"",1100072,""2004-2008"",""rural"",""chagas"",0,0"
"RO,""Rondônia"",""Costa Marques"",1100080,""2004-2008"",""rural"",""chagas"",0,0"
"RO,""Rondônia"",""Cujubim"",1100940,""2004-2008"",""rural"",""chagas"",0,0"
"RO,""Rondônia"",""Espigão D'Oeste"",1100098,""2004-2008"",""rural"",""chagas"",0,0"
"RO,""Rondônia"",""Governador Jorge Teixeira"",1101005,""2004-2008"",""rural"",""chagas"",0,0"
"RO,""Rondônia"",""Guajará-Mirim"",1100106,""2004-2008"",""rural"",""chagas"",0,0"
"RO,""Rondônia"",""Itapuã do Oeste"",1101104,""2004-2008"",""rural"",""chagas"",0,0"
"RO,""Rondônia"",""Jaru"",1100114,""2004-2008"",""rural"",""chagas"",0,0"
"RO,""Rondônia"",""Ji-Paraná"",1100122,""2004-2008"",""rural"",""chagas"",0,0"
"RO,""Rondônia"",""Machadinho D'Oeste"",1100130,""2004-2008"",""rural"",""chagas"",0,0"
"RO,""Rondônia"",""Ministro Andreazza"",1101203,""2004-2008"",""rural"",""chagas"",0,0"
"RO,""Rondônia"",""Mirante da Serra"",1101302,""2004-2008"",""rural"",""chagas"",0,0"
"RO,""Rondônia"",""Monte Negro"",1101401,""2004-2008"",""rural"",""chagas"",1,2.49134586168596"
"RO,""Rondônia"",""Nova Brasilândia D'Oeste"",1100148,""2004-2008"",""rural"",""chagas"",0,0"
"RO,""Rondônia"",""Nova Mamoré"",1100338,""2004-2008"",""rural"",""chagas"",0,0"
"RO,""Rondônia"",""Nova União"",1101435,""2004-2008"",""rural"",""chagas"",0,0"
"RO,""Rondônia"",""Novo Horizonte do Oeste"",1100502,""2004-2008"",""rural"",""chagas"",0,0"
"RO,""Rondônia"",""Ouro Preto do Oeste"",1100155,""2004-2008"",""rural"",""chagas"",1,1.91032252608624"
"RO,""Rondônia"",""Parecis"",1101450,""2004-2008"",""rural"",""chagas"",0,0"
"RO,""Rondônia"",""Pimenta Bueno"",1100189,""2004-2008"",""rural"",""chagas"",0,0"
"RO,""Rondônia"",""Pimenteiras do Oeste"",1101468,""2004-2008"",""rural"",""chagas"",0,0"
"RO,""Rondônia"",""Porto Velho"",1100205,""2004-2008"",""rural"",""chagas"",0,0"
"RO,""Rondônia"",""Presidente Médici"",1100254,""2004-2008"",""rural"",""chagas"",0,0"
"RO,""Rondônia"",""Primavera de Rondônia"",1101476,""2004-2008"",""rural"",""chagas"",0,0"
"RO,""Rondônia"",""Rio Crespo"",1100262,""2004-2008"",""rural"",""chagas"",1,8.17357155991478"
"RO,""Rondônia"",""Rolim de Moura"",1100288,""2004-2008"",""rural"",""chagas"",0,0"
"RO,""Rondônia"",""Santa Luzia D'Oeste"",1100296,""2004-2008"",""rural"",""chagas"",0,0"
"RO,""Rondônia"",""São Felipe D'Oeste"",1101484,""2004-2008"",""rural"",""chagas"",0,0"
"RO,""Rondônia"",""São Francisco do Guaporé"",1101492,""2004-2008"",""rural"",""chagas"",0,0"
"RO,""Rondônia"",""São Miguel do Guaporé"",1100320,""2004-2008"",""rural"",""chagas"",0,0"
"RO,""Rondônia"",""Seringueiras"",1101500,""2004-2008"",""rural"",""chagas"",0,0"
